percobaan_1,percobaan_2,percobaan_3,percobaan_4,percobaan_5
1.05233,1.02044,1.04797,1.05453,1.077
1.06013,1.08119,1.07596,1.09232,1.07688
1.06625,1.09826,1.07102,1.1505,1.07684
1.07724,1.09929,1.06697,1.162,1.07737
1.0838,1.0957,1.07738,1.16749,1.0793
1.08976,1.1085,1.08282,1.17096,1.1059
1.09573,1.12059,1.08628,1.18115,1.14008
1.10315,1.1212,1.08866,1.18608,1.14747
1.11281,1.12606,1.09404,1.19847,1.14301
1.12039,1.13483,1.09958,1.20572,1.14341
1.12653,1.14184,1.10394,1.21514,1.12631
1.1343,1.14826,1.10727,1.22368,1.11505
1.14113,1.1637,1.11348,1.226,1.11285
1.14852,1.16514,1.1207,1.17368,1.11814
1.15703,1.1733,1.12915,1.17703,1.12238
1.16181,1.18676,1.13471,1.1779,1.12829
1.16857,1.18987,1.14159,1.18489,1.13117
1.1774,1.19319,1.14657,1.19704,1.11896
1.18355,1.19455,1.15231,1.20731,1.11042
1.19105,1.20315,1.15965,1.20839,1.11917
1.19944,1.20949,1.16808,1.22089,1.12568
1.20421,1.21215,1.17603,1.22983,1.13348
1.20956,1.22289,1.18477,1.24407,1.13872
1.21571,1.23205,1.19108,1.24589,1.14442
1.2223,1.24078,1.19829,1.26161,1.14982
1.22938,1.24676,1.20655,1.26804,1.15538
1.23561,1.24955,1.21487,1.27468,1.16094
1.24331,1.25278,1.22287,1.28337,1.16688
1.25037,1.26012,1.23194,1.28913,1.17277
1.25594,1.26764,1.24,1.29552,1.17896
